Label,URL,brand,name,price,rating,skin_type,ingredients,product_image
moisturizing-cream-oils-mists,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?icid2=skugrid:p427421,Drunk Elephant,Protini™ Polypeptide Moisturizer,$68.00 ,No Info,No info,"Water/Aqua/Eau, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes, Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60, Lactic Acid/Glycolic Acid Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol, Sodium Benzoate, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract.",https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/the-dewy-skin-cream-P441101?icid2=skugrid:p441101,Tatcha,The Dewy Skin Cream Plumping & Hydrating Moisturizer,$68.00 ,No Info,No info,"Aqua/Water/Eau, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Glycerin, Propanediol, Dimethicone, Squalane, Diisostearyl Malate, Behenyl Alcohol, Myristyl Myristate, Dipentaerythrityl Hexahydroxystearate, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Chondrus Crispus Extract, Betaphycus Gelatinum Extract, Eisenia Arborea Extract, Oryza Sativa (Rice) Bran Extract, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Thymus Serpyllum Extract, Malva Sylvestris (Mallow) Flower Extract, Sodium Hyaluronate, Inositol, Gold, Sericin, Phytosteryl Macadamiate, Butylene Glycol, Beheneth-20, Sorbitan Tristearate, Disodium Edta, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Caprylyl/Capryl Glucoside, Sorbitan Isostearate, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol, Mica (Ci 77019), Titanium Dioxide (Ci 77891), Tin Oxide (Ci 77861), Violet 2 (Ci 60725). *Hadasei-3.",https://www.sephora.com/productimages/sku/s2181006-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/the-water-cream-P418218?icid2=skugrid:p418218,Tatcha,The Water Cream Oil-Free Pore Minimizing Moisturizer,$68.00 ,No Info,No info,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin, Diglycerin, Diphenylsiloxy Phenyl Trimethicone, Gold, Belamcanda Chinensis Root Extract, Rosa Multiflora Fruit Extract, Houttuynia Cordata Extract, Sophora Angustifolia Root Extract, Sodium Hyaluronate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Sodium Chloride, Sodium Citrate, Mica, Peg-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Disodium Edta, Tin Oxide, Titanium Dioxide, Butylene Glycol, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol. *Hadasei-3.",https://www.sephora.com/productimages/sku/s1932920-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/barrier-lipid-peptide-cream-P442840?icid2=skugrid:p442840,Skinfix,Barrier+ Triple Lipid-Peptide Face Cream,$50.00 ,No Info,No info,"Water, Caprylic/Capric Triglyceride, Glycerin, Olus Oil (Vegetable Oil), Butyrospermum Parkii (Shea) Butter Extract, Cetyl Lactate, Propanediol, Caprylyl Caprylate/Caprate, C12-16 Alcohols, Jojoba Oil/Macadamia Seed Oil Esters, Glyceryl Stearate Citrate, Palmitic Acid, Hydrogenated Lecithin, Ophiopogon Japonicus Root Extract, Tocopherol, Sodium Hyaluronate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Extract, Phytosteryl Macadamiate, Phytosterols, Squalene, Aloe Barbadensis Leaf Juice, Oryza Sativa (Rice) Bran Extract, Phytosteryl Canola Glycerides, Glycine Soja (Soybean) Seed Extract, Pentylene Glycol, Hydrolyzed Rice Protein, Hydrogenated Vegetable Oil, Chondrus Crispus Extract, Dilinoleic Acid/Propanediol Copolymer, Ethylhexylglycerin, Phenoxyethanol, Potassium Sorbate, Trisodium Ethylenediamine Disuccinate, Citric Acid, Gluconolactone, Sodium Benzoate, Xanthan Gum.",https://www.sephora.com/productimages/sku/s2215945-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/cicapair-tiger-grass-color-correcting-treatment-spf-30-P411540?icid2=skugrid:p411540,Dr. Jart+,Cicapair™ Tiger Grass Color Correcting Treatment SPF 30,$52.00 ,No Info,No info,"

Triethoxycaprylylsilane, Lavandula Angustifolia (Lavender) Oil, Asiatic Acid, Madecassic Acid, Rosmarinus Officinalis (Rosemary) Leaf Oil, 1,2- Hexanediol, Anthemis Nobilis Flower Oil, Houttuynia Cordata Extract, Centella Asiatica Extract, Gentiana Lutea Root Extract, Artemisia Absinthium Extract, Achillea Millefolium Extract, Arnica Montana Flower Extract, Aniba Rosodora (Rosewood) Wood Oil, Madecassoside, Centella Asiatica Meristem Cell Culture, Xanthan Gum, Titanium Dioxide, Zinc Oxide, Methylpropanediol, Bis-Hydroxyethoxypropyl Dimethicone, Butyloctyl Salicylate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Magnesium Sulfate, Caprylyl Glycol, Synthetic Fluorphlogopite, Glyceryl Caprylate, Zein, Ethylhexylglycerin, Citrus Paradisi (Grapefruit) Peel Oil, Silica Dimethyl Silylate, Zea Mays (Corn) Starch, Helianthus Annuss (Sunflower) Seed Oil, Hydrogenated Lecithin",https://www.sephora.com/productimages/sku/s1855709-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/your-skin-but-better-cc-cream-spf-50-P411885?icid2=skugrid:p411885,IT Cosmetics,CC+ Cream with SPF 50+,$39.50 ,No Info,No info,"Collagen: Supports skin elasticity for a youthful, smooth appearance. Peptides: Help reduce the appearance of wrinkles and support natural collagen for the look of smoother, firmer skin.Niacin: Promotes a more even appearance and helps combat the look of blemishes and hyperpigmentation. ntioxidants: Reduce and protect against free-radical damage, which can cause skin inflammation and aging. Titanium Dioxide 9.0%, Zinc Oxide 6.3%: Sunscreen.
",https://www.sephora.com/productimages/sku/s1868157-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/creme-de-la-mer-moisturizing-cream-P416341?icid2=skugrid:p416341,La Mer,Crème de la Mer Moisturizer,$190.00 ,No Info,No info,"
                                                                                                                                                                                                                                                                Algae (Seaweed) Extract, Mineral Oil\Paraffinum Liquidum\Huile Minerale, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed oil, Eucalyptus Globulus (Ecalyptus) Leaf oil, Sesamum Indicum (Sesame) Seed Powder, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Sodium Gluconate, Potassium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin, Water\Aqua\EAU, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol, Citric Acid, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral, Sodium Benzoate, Alcohol Denat., Fragrance (Parfum)

                                                                                                                                                                                                                                                            ",https://www.sephora.com/productimages/sku/s1932201-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/superberry-hydrate-glow-dream-mask-P440307?icid2=skugrid:p440307,Youth To The People,Superberry Hydrate + Glow Dream Mask with Vitamin C,$48.00 ,No Info,No info,"Water/Aqua/Eau (Aqua), Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate, Cetyl Alcohol, Betaine, Isopropyl Myristate, Stearic Acid, Opuntia Tuna (Prickly Pear) Extract, Euterpe Oleracea (Acai) Fruit Extract, Lycium Barbarum (Goji) Extract, Aristotelia Chilensis (Maqui) Fruit Extract, Moringa Oleifera Leaf Extract, Tetrahexyldecyl Ascorbate (Vitamin C), Phenoxyethanol, Glyceryl Stearyl Citrate, Tocopheryl Acetate (Vitamin E), Glyceryl Laurate, Squalane Olive, Carbomer, Hyaluronic Acid, Allantoin, Panthenol (Vitamin B5), Ethylhexylglycerin, Xanthan Gum, Natural Fragrance, Riboflavin (Vitamin B2).",https://www.sephora.com/productimages/sku/s2180941-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/glow-recipe-watermelon-glow-pha-bha-pore-tight-toner-P458219?icid2=skugrid:p458219,Glow Recipe,Watermelon Glow PHA +BHA Pore-Tight Toner,$34.00 ,No Info,No info,"Opuntia Ficus-Indica (Cactus) Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Glycerin, Hyaluronic Acid, Gluconolactone, Sodium Polyglutamate, Betaine Salicylate, Salix Alba (Willow) Bark Extract, Melaleuca Alternifolia (Tea Tree) Extract, Hibiscus Sabdariffa Flower Extract, Lactobacillus/Watermelon Fruit Ferment Extract, Cucumis Sativus (Cucumber) Fruit Extract, Saccharum Officinarum (Sugarcane) Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Ipomoea Batatas Root Extract, Sorbitan Oleate, Levulinic Acid, Sodium Levulinate, Fragrance/Parfum.",https://www.sephora.com/productimages/sku/s2348431-main-zoom.jpg?imwidth=315
moisturizing-cream-oils-mists,https://www.sephora.com/product/the-true-cream-aqua-bomb-P394639?icid2=skugrid:p394639,belif,The True Cream Aqua Bomb,$38.00 ,No Info,No info,"
Water, Dipropylene Glycol, Glycerin, Methl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract*, Equisetum Arvense Leaf Extract*, Stellaria Media (Chickweed) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Plantago Lanceolata Leaf Extract*, Avena Sativa (Oat) Kernel Extract**, Calendula Officinalis Flower Extract**, Nepeta Cataria Extract**, Rubus Idaeus (Raspberry) Leaf Extract**, Baptisia Tinctoria Root Extract**, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance+, Citronellol, Limonene, Citral, Geraniol, Linalool.",https://www.sephora.com/productimages/sku/s1686427-main-zoom.jpg?imwidth=315
