Label,brand,name,price,rank,SVD1,SVD2
Moisturizer,LA MER,Crème de la Mer,175,4.1,1.9533754304801219,2.759981594098195
Moisturizer,SK-II,Facial Treatment Essence,179,4.1,0.7601441667306568,-0.10491033796862466
Moisturizer,DRUNK ELEPHANT,Protini™ Polypeptide Cream,68,4.4,2.787627628338723,-1.1692134751315777
Moisturizer,LA MER,The Moisturizing Soft Cream,175,3.8,4.223722199672703,4.625709443540008
Moisturizer,IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,38,4.1,4.03210879420486,-3.557648525467809
Moisturizer,DRUNK ELEPHANT,Lala Retro™ Whipped Cream,60,4.2,2.0395080065509905,-0.7466969261391879
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil,72,4.4,3.6411126632078536e-16,2.1778089100589023e-13
Moisturizer,KIEHL'S SINCE 1851,Ultra Facial Cream,29,4.4,2.3838541370366215,-0.6602263074363018
Moisturizer,KIEHL'S SINCE 1851,Midnight Recovery Concentrate,47,4.4,-5.1628658620487443e-17,-7.156583540310105e-14
Moisturizer,SUNDAY RILEY,Luna Sleeping Night Oil,105,4.1,0.0049041243164802215,-0.012409991307058318
Moisturizer,FARMACY,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,58,4.6,1.9448922338794437,-0.7174031801889363
Moisturizer,DRUNK ELEPHANT,The Littles™,90,4.4,5.404871823506397,-2.6420087687063676
Moisturizer,FIRST AID BEAUTY,Ultra Repair® Cream Intense Hydration,30,4.6,2.206000176777319,-0.6371229731717365
Moisturizer,CLINIQUE,Moisture Surge 72-Hour Auto-Replenishing Hydrator,39,4.4,0.02486216236369848,0.06452857089809795
Moisturizer,SK-II,R.N.A. POWER Face Cream,230,4.3,2.8358453014091847,-0.182809673957609
Moisturizer,LA MER,Crème de la Mer Mini,85,4.1,1.9533754304801219,2.759981594098195
Moisturizer,FRESH,Black Tea Firming Overnight Mask,92,4.1,3.7438633174309643,0.32483430549018283
Moisturizer,BELIF,The True Cream Moisturizing Bomb,38,4.6,2.282286630687191,-0.753278364825246
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil Mini,40,4.5,3.6411126632078536e-16,2.1778089100589023e-13
Moisturizer,ORIGINS,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,34,4.4,2.2923773927771722,0.9331101574971039
Moisturizer,CLINIQUE,Dramatically Different Moisturizing Lotion+,28,3.9,0.009291240740708669,-0.001357458438638181
Moisturizer,SK-II,GenOptics Aura Essence Serum,240,4.1,2.9273186264435336,0.45304825963147854
Moisturizer,TATCHA,Pure One Step Camellia Cleansing Oil,48,4.5,0.9446753823994429,-0.25145011730464195
Moisturizer,OLEHENRIKSEN,Sheer Transformation® Perfecting Moisturizer,38,4.2,1.646181625748389e-17,5.671089199140941e-14
Moisturizer,JOSIE MARAN,100 percent Pure Argan Oil,48,4.5,-2.5369489001626235e-17,-2.5262760809973618e-14
Moisturizer,IT COSMETICS,Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,38,3.9,3.4574308362603925,-2.7969473866779615
Moisturizer,LANEIGE,Water Sleeping Mask,25,4.4,3.0108198134427187,-0.8658520500451956
Moisturizer,LANEIGE,Water Bank Moisture Cream,35,4.4,3.4213454498992166,-0.9526839762102868
Moisturizer,SK-II,Facial Treatment Essence Mini,99,4.1,0.7601441667306568,-0.10491033796862466
Moisturizer,TATCHA,Luminous Dewy Skin Mist,48,4.0,1.6418081156711204,-0.29008975398806514
Moisturizer,SHISEIDO,Benefiance WrinkleResist24 Night Cream,63,4.4,3.2312299947914727,0.9719337142876227
Moisturizer,OLEHENRIKSEN,Goodnight Glow Retin-ALT Sleeping Crème,55,4.3,3.0968024979255957,-0.39679346143360045
